iter	MultiClass
0	3.766694012
1	3.522117154
2	3.272374271
3	3.069096808
4	2.855668119
5	2.70671648
6	2.600478601
7	2.484158292
8	2.361647376
9	2.253825564
10	2.1614467
11	2.058262677
12	1.970663446
13	1.900569208
14	1.826130413
15	1.741649656
16	1.663007709
17	1.596536875
18	1.55202717
19	1.488412818
20	1.430255677
21	1.388286751
22	1.345479442
23	1.312617207
24	1.264414375
25	1.221859631
26	1.1796404
27	1.154030506
28	1.116088249
29	1.094963353
30	1.060838985
31	1.036008372
32	1.00552841
33	0.9792161603
34	0.9582602831
35	0.9309738989
36	0.9077754357
37	0.8821948243
38	0.8583471324
39	0.8376183339
40	0.8240113333
41	0.8002296454
42	0.7833614275
43	0.7622575052
44	0.7485612098
45	0.7306814344
46	0.7088987724
47	0.6918796465
48	0.6728391853
49	0.661271505
50	0.6519113906
51	0.6383727753
52	0.6283211804
53	0.6130646533
54	0.6029710576
55	0.5932785053
56	0.5789879108
57	0.5668899554
58	0.5591828711
59	0.547291828
60	0.5360716205
61	0.5262804259
62	0.5201810621
63	0.5102474238
64	0.4985378082
65	0.4919422578
66	0.4822464137
67	0.4738254296
68	0.4682190132
69	0.4637250659
70	0.4553329223
71	0.4482051784
72	0.4411531023
73	0.4351841931
74	0.4275214353
75	0.4229149985
76	0.4179154091
77	0.4112737169
78	0.4047409247
79	0.4008473218
