iter	Passed	Remaining
0	6395	6388891
1	12519	6247176
2	19217	6386595
3	25589	6371771
4	31893	6346793
5	38202	6328896
6	44450	6305594
7	50272	6233788
8	55967	6162687
9	61599	6098363
10	67311	6051953
11	73115	6019867
12	79296	6020465
13	85518	6022924
14	91261	5992823
15	96719	5948261
16	102194	5909243
17	108474	5917889
18	115114	5943549
19	121859	5971130
20	127886	5961956
21	134322	5971264
22	140554	5970530
23	146280	5948734
24	151753	5918395
25	157211	5889389
26	162729	5864275
27	167985	5831492
28	173462	5808017
29	180145	5824710
30	186488	5829279
31	192153	5812630
32	198853	5826998
33	205202	5830155
34	211552	5832796
35	218404	5848390
36	224890	5853219
37	231610	5863398
38	238643	5880414
39	245667	5896021
40	252315	5901724
41	260027	5931092
42	266664	5934830
43	273292	5937896
44	279942	5941008
45	286330	5938235
46	292962	5940281
47	299314	5936402
48	305990	5938722
49	312123	5930347
50	318323	5923319
51	324908	5923338
52	332025	5932613
53	337913	5919739
54	343664	5904784
55	351156	5919498
56	358921	5937954
57	365498	5936200
58	371938	5932102
59	378386	5928054
60	384995	5926411
61	391225	5918865
62	397820	5916784
63	405280	5927229
64	412081	5927632
65	418673	5924871
66	425573	5926264
67	432519	5928063
68	439905	5935537
69	446884	5937174
70	453897	5939030
71	461187	5944196
72	467657	5938612
73	473937	5930618
74	480248	5923070
75	486527	5915153
76	492943	5908920
77	499226	5901115
78	505486	5893071
79	512169	5889950
